date_excel;month;year;day;date;population;vaccination;dose1;dose2;dose1_cum;dose2_cum;vaccination_cum;infections_stadt;infections_lkr;immune_infect;immune_vac;immune;
44338;5;2021;22;2021-5-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44339;5;2021;23;2021-5-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44340;5;2021;24;2021-5-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44341;5;2021;25;2021-5-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44342;5;2021;26;2021-5-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44343;5;2021;27;2021-5-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44344;5;2021;28;2021-5-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44345;5;2021;29;2021-5-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44346;5;2021;30;2021-5-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44347;5;2021;31;2021-5-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44348;6;2021;1;2021-6-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44349;6;2021;2;2021-6-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44350;6;2021;3;2021-6-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44351;6;2021;4;2021-6-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44352;6;2021;5;2021-6-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44353;6;2021;6;2021-6-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44354;6;2021;7;2021-6-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44355;6;2021;8;2021-6-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44356;6;2021;9;2021-6-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44357;6;2021;10;2021-6-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44358;6;2021;11;2021-6-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44359;6;2021;12;2021-6-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44360;6;2021;13;2021-6-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44361;6;2021;14;2021-6-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44362;6;2021;15;2021-6-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44363;6;2021;16;2021-6-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44364;6;2021;17;2021-6-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44365;6;2021;18;2021-6-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44366;6;2021;19;2021-6-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44367;6;2021;20;2021-6-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44368;6;2021;21;2021-6-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44369;6;2021;22;2021-6-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44370;6;2021;23;2021-6-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44371;6;2021;24;2021-6-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44372;6;2021;25;2021-6-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44373;6;2021;26;2021-6-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44374;6;2021;27;2021-6-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44375;6;2021;28;2021-6-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44376;6;2021;29;2021-6-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44377;6;2021;30;2021-6-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44378;7;2021;1;2021-7-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44379;7;2021;2;2021-7-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
